number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-722283,Петришковский сельский исполнительный комитет,"Комплекс работ по содержанию и благоустройству общественных территорий, территории кладбища, в том числе уборка, санитарная очистка и косьба сорной растительности на территории Петришковского сельского Совета",0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722283,,
2019-722282,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",Закупка запасных частей для погрузчиков,122 599.28,2019-06-22,BLR,http://www.icetrade.by/tenders/all/view/722282,,
2019-722281,"ОАО ""БелЭнергоСнабКомплект""",Счётчики электрической энергии,5 069 280,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/722281,,
2019-722280,"КУКПП ""Коммунальник""","Выбор проектной организации для разработки проектно-сметной документации по объекту ""Капитальный ремонт жилого дома № 5 по ул. Смолячкова в г. Кричеве""",8 167,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722280,,
2019-722276,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №211/19 - П  Аппараты ультразвуковые ПОВТОРНО ЛОТ 1,0,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/722276,,
2019-722275,"РУП ""Минскавтодор-Центр""","Выполнение работ по разработке обоснования инвестиций по реконструкции объекта ""Автомобильная дорога Р-53 Слобода-Новосады, км 49,350-км 52,0""",65 000,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/722275,,
2019-722274,Отдел по образованию Белыничского райисполкома,закупка и установка пароконвекционных печей в учреждения образования района,14 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722274,,
2019-722273,Минский городской ЦГиЭ,Закупка  реагентов и расходных материалов,91 735,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722273,,
2019-722269,Витебская таможня,Закупка автомобильных подъемников с их установкой и пусконаладочными работами,11 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722269,,
2019-722268,"Отдел образования, спорта и туризма Буда-Кошелевского райисполкома","Выбор инженерной организации для оказания инженерных услуг с выполнением функций заказчика по комплексному управлению строительной деятельностью (инженерные услуги по разработке проектно-сметной документации) с осуществлением технического надзора по объекту ""Вынос теплового узла в учреждении образования ""Государственный ясли-сад ""Солнышко"" п. Коммунар Буда-Кошелевского района"".",0,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722268,,
2019-722266,"УП ""Медтехника"" г. Гродно",ГродМТ 165/19-ЭА «Фетальные мониторы» по заявке Управления здравоохранения Гродненского облисполкома,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/722266,,
2019-722265,"ООО ""Лминжиниринг""",Выбор генеральной подрядной  организации для  выполнения строительно-монтажных работ  по  объекту: «Строительство 20-ти квартирного жилого дома по ул. Тракторная в г. Копыль»,1 784 753.93,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/722265,,
2019-722264,"КУП ""ЖКХ г.Полоцка""",Капитальный ремонт жилого дома №61 по ул.Зыгина в г.Полоцке,80 100,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722264,,
2019-722263,"КУП ""Слуцкое ЖКХ""","Закупка строительных работ по объекту: «Капитальный ремонт мягкой кровли, входных групп, цоколя, отмостки жилого дома № 5 по ул. Чехова в г. Слуцке»",184 342,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722263,,
2019-722262,"Отдел по образованию, спорту и туризму Славгородского райисполкома",Закупка пароконвекционных печей для учреждений образования г. Славгорода,14 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722262,,
2019-722261,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",Сварочное оборудование,0,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722261,,
2019-722260,"ОАО ""Макродор""",Закупка добавки адгезионной для дорожных битумов,0,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722260,,
2019-722258,"ГЛХУ ""Червенский лесхоз""","Легковой полноприводный автомобиль 4х4 3(трехдверный), аналог LADA 21214-040-50",33 400,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722258,,
2019-722256,"УП ""Гроднооблгаз""",Закупка коммуникационного оборудования,141 000,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/722256,,
2019-722255,"Гомельское республиканское унитарное предприятие электроэнергетики ""Гомельэнерго""","Выбор подрядной организации для строительства объекта «60-квартирный жилой КПД в н.п. Большевик Гомельского района» (объект №41.18) (сети электроснабжения 0,4-10 кВ)",90 388,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/722255,,
2019-722253,"ОАО ""Кобринский МСЗ""",Закупка молокосвертывающего ферментного препарата,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722253,,
2019-722252,"РУП ""Белоруснефть-Гроднооблнефтепродукт""",закупка видеонаблюдение,142 060.95,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722252,,
2019-722250,"УЗ ""Брестская областная больница""",реагенты и ИМН для клинической лабораторной диагностики на 3 квартал 2019 года,948,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722250,,
2019-722249,"ОАО ""ММЗ имени С.И.Вавилова - управляющая компания холдинга ""БелОМО""",индукционные тигельные плавильные электропечи средней частоты,300 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722249,,
2019-722248,ИПСУП «БелСвиссИнвест»,Выполнение комплекса работ по устройству утепления и отделки фасадов и аркад здания гипермаркета,1,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722248,,
2019-722247,"ГЛХУ ""Червенский лесхоз""",Закупка линии для оцилиндровки древесины,0,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722247,,
2019-722246,"ОАО ""Кобринский МСЗ""",Закупка смеси для производства майонеза,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722246,,
2019-722245,"ОАО ""Крайск""",Строительство сенажной траншеи,28 644,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722245,,
2019-722244,Управление по образованию Оршанского райисполкома,Закупка средств обучения и компьютерной техники в Оршанский районный центр технического творчества детей и молодежи,41 850,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722244,,
2019-722243,"УП ""Медтехника"" г.Витебск","ВитМТ № 95/19-ЭА Лоты № 1 - 2
«Инкубаторы для новорожденных»",0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722243,,
2019-722242,"ООО ""НоваторПроект""","на закупку оборудования промышленной линии по производству топливных гранул (пеллет) производительностью 3,0 т/ч (19800 т/год) с осуществлением монтажных, шефмонтажных, пусконаладочных работ и обучением персонала силами и за счет средств Поставщика",0,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722242,,
2019-722241,Новогрудский районный исполнительный комитет,"Издание презентабельного полноцветного альбома ""Новогрудок: путешествие во времени""",53 000,2019-06-22,BLR,http://www.icetrade.by/tenders/all/view/722241,,
2019-722240,"ОАО ""БЕЛЭНЕРГОРЕМНАЛАДКА""","закупка работ по шефнадзору за капитальным ремонтом турбодетандерной установки типа УТДУ-4000-1,2-2,6-УХЛ4 филиала «Гомельская ТЭЦ-2» РУП «Гомельэнерго» с выполнением наладочных и диагностических работ блока системы регулирования",123 000,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722240,,
2019-722238,"УЗ ""Пинская центральная поликлиника""",Шовный материал,0,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722238,,
2019-722236,"ОАО ""БЕЛИНВЕСТБАНК""","Лицензии на программное обеспечение для создания автоматизированной системы управления рисками, выполнение работ по внедрению, оказание услуг по сопровождению",0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722236,,
2019-722232,Унитарное предприятие «Витебский комбинат хлебопродуктов»,"Закупка ветеринарных препаратов, инструментов и оборудования",0,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722232,,
2019-722230,"ОАО ""АСБ Беларусбанк""",ремонт,18 049,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722230,,
2019-722229,"Учреждение образования ""Барановичский государственный университет""","Строительные  работы по объекту «Текущий ремонт нежилых помещений  в здании общежития №4 по адресу г. Ляховичи, ул. Юбилейная, 2».",20 157,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/722229,,
2019-722227,"ОАО ""МТЗ""",Закупка карданных валов,1 248 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722227,,
2019-722226,"ГУ ""РНПЦ пульмонологии и фтизиатрии""",Изделия медицинского назначения,0,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722226,,
