number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-723695,"Коммунальное унитарное многоотраслевое производственное предприятие жилищно-коммунального хозяйства ""Ганцевичское РЖКХ""",Выбор подрядчика на выполнение текущего ремонта асфальтобетонного покрытия по ул.Строителей в г. Ганцевичи,128 302,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/723695,,
2019-724417,"Учреждение образования ""Городокский государственный аграрно-технический колледж""",закупка рабочих мест лаборатории автомобилей,39 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724417,,
2019-724092,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядной организации по разработке предпроектной (предынвестиционной) документации и разработке ПСД по объекту строительства: «Капитальный ремонт жилого дома ул. Пулихова, 23», г. Минск в интересах Государственного предприятия «Жилищное коммунальное хозяйство Партизанского района г. Минска»,КС348-06/191",94 998.62,2019-07-25,BLR,http://www.icetrade.by/tenders/all/view/724092,,
2019-723795,Брестская райветстанция,Дезинфицирующее средство,10 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723795,,
2019-723897,"РУП ""БЕЛЭЗ""",лифт пассажирский,49 500,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/723897,,
2019-724204,"Республиканское производственное унитарное предприятие ""Гомельоблгаз""",Трубка гофрированная 2 лота,16 700,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724204,,
2019-723998,ОАО «Агрокомбинат «Скидельский»,Закупка услуг по проведению аудита достоверности бухгалтерской (финансовой) отчетности,35 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723998,,
2019-723593,Городское клиническое патологоанатомическое бюро,закупка стекол предметных и покровных для гистологии,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/723593,,
2019-724312,"Отдел идеологической работы, культуры и по делам молодежи Столбцовского райисполкома",Смена деревянных окон на изделия из ПВХ,3 500,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724312,,
2019-724311,"ОАО ""БелЭнергоСнабКомплект""",Фильтрующие элементы,0,2019-07-02,BLR,http://www.icetrade.by/tenders/all/view/724311,,
2019-723694,"РУП ""Белоруснефть-Минскавтозаправка""",«Персональные компьютеры ПЭВМ»,69 800,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723694,,
2019-724416,"УП ""БЕЛЖЕЛДОРСНАБ""",Системы светооптические светодиодные СССК-160; СССМ-200; ССК-160; ССМ-200; ССМ-LLA,0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/724416,,
2019-724091,"ООО ""АКОРИМ""",Мотор-редуктор,0,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/724091,,
2019-723794,"Коммунальное унитарное предприятие ""Речицкий райжилкомхоз""",закупка работ по электроснабжению и автоматизации по строительству городского кладбища,41 431,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723794,,
2019-723896,"Государственное предприятие ""Жилищное коммунальное хозяйство № 1 Московского района г.Минска""","Ремонт систем АПС, ПДЗ и СОУЭ жилых домов",46 185.56,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723896,,
2019-724203,"ОАО ""Беларуськалий""",Закупка индикаторной  катионообменной колонки со смолой SWAN (или аналог),0,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/724203,,
2019-723997,"Государственное предприятие ""КШП города Минска""",Закупка бумаги офисной формат А4,19 100,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723997,,
2019-723592,"РУП ""БЕЛПОЧТА""",Обследование кирпичных дымовых труб на объектах почтовой связи,15 120,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/723592,,
