country,customer,deadline,description,number,price,url_addr
BLR,"ОАО ""ДСТ № 3""",2019-07-17,"Электротехничские изделия (светильники, блоки питания, светодиодный профиль)",2019-730896,184 521.21,http://www.icetrade.by/tenders/all/view/730896
BLR,"РУП ""Белтелеком"" Гродненский филиал",2019-07-29,Закупка оборудования связи,2019-730895,40 156,http://www.icetrade.by/tenders/all/view/730895
BLR,"ОАО ""Мозырский НПЗ""",2019-08-01,"Закупка перхлорэтилена для установки изомеризации ТКП ОАО ""Мозырский НПЗ""",2019-730578,119 127,http://www.icetrade.by/tenders/all/view/730578
BLR,"ОАО ""СМТ №19""",2019-07-25,Постельное белье и спецодежда,2019-730894,2,http://www.icetrade.by/tenders/all/view/730894
BLR,"ОАО ""АГРОКОМБИНАТ ""ДЗЕРЖИНСКИЙ""",2019-07-31,закупка вакцины,2019-730893,457 200,http://www.icetrade.by/tenders/all/view/730893
BLR,"ОМТС РУП ""Могилевское отделение Белорусской железной дороги""",2019-07-18,Закупка измерителя параметров канала тональной частоты ТЧ-ПРО (или аналог),2019-730892,2 000,http://www.icetrade.by/tenders/all/view/730892
BLR,"ОАО ""СТРОЙТРЕСТ №4""",2019-07-18,Переговоры по выбору поставщика комплекта активного оборудования для локально-вычислительной сети для объекта «Строительство многоквартирных жилых домов с инженерно-транспортной  инфраструктурой и объектами социально-гарантируемого обслуживания населения в д.Копище Боровлянского сельсовета Минского района. Школа № 1».,2019-730891,57 102,http://www.icetrade.by/tenders/all/view/730891
BLR,"ОАО ""Прибудский""",2019-07-17,Легковой Автомобиль УАЗ ПАТРИОТ (ПИКАП),2019-730890,0,http://www.icetrade.by/tenders/all/view/730890
BLR,"ОАО ""Солигорская птицефабрика""",2019-08-01,Закупка незернового сырья для выработки комбикорма,2019-730889,0,http://www.icetrade.by/tenders/all/view/730889
BLR,"УП ""Жильё""",2019-07-26,«Услуги инженерной организации по проведению тепловых испытаний для определения фактических тепловых потерь и нормирования тепловых потерь через тепловую изоляцию трубопроводов тепловых сетей от котельных цехов Жодинской ТЭЦ  для: Борисовского городского унитарного предприятия «Жилье»,2019-730888,100 000,http://www.icetrade.by/tenders/all/view/730888
BLR,"ОАО ""СЛУЦКИЙ МЯСОКОМБИНАТ""",2019-07-31,Шрот подсолнечный высокопротеиновый,2019-730887,357 000,http://www.icetrade.by/tenders/all/view/730887
BLR,Унитарное жилищное ремонтно-эксплуатационное предприятие Ленинского района г.Гродно,2019-07-17,Выбор подрядной организации на выполнение строительно-монтажных работ.,2019-730886,87 267.79,http://www.icetrade.by/tenders/all/view/730886
BLR,"Государственное предприятие ""Гордорматериалы""",2019-07-17,Бетон  В60F200*W16,2019-730885,46 300,http://www.icetrade.by/tenders/all/view/730885
BLR,"ОАО ""Мозырский НПЗ""",2019-07-17,Закупка искробезопасного инструмента ОМТС,2019-730884,92 400,http://www.icetrade.by/tenders/all/view/730884
